backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
37,show how much you love being queer with these 2 pins,Accessories,the United States,1589905189,Enzo Daniel,1593581930,400,1590989930,"Kenosha, WI",Queer Cryptids | Pride Enamel Pins,1003.0,queer cryptids pride enamel pins,True,False,successful,1593581930,https://www.kickstarter.com/projects/enzorayarts/queer-cryptids-pride-enamel-pins?ref=discovery_category_newest,1003.0
7,a fidget device that can be used to emit a very annoying but satisfying sound if you have many you can even build stuff,Interactive Design,the United States,1586805141,Brett Nguyen,1591992421,15000,1586808421,"Warwick, NY",Klicker the annoying clicking toy (Canceled),62.0,klicker the annoying clicking toy,False,False,canceled,1587151257,https://www.kickstarter.com/projects/klickerz/klicker-the-annoying-clicking-toy?ref=discovery_category_newest,62.0
0,sara bronson ex army but only an army can stop her on this visually stunning action thrill ridethe sins of the father will be paid,Action,the United States,1483460762,Day Off Films,1488234117,10000,1484346117,"Fredericksburg, VA",Badass Bronson,0.0,badass bronson,False,False,failed,1488234118,https://www.kickstarter.com/projects/1559694426/badass-bronson?ref=discovery_category_newest,0.0
63,one shoe to many  tsouls  an addictive cork comfort shoe with many attachable tops,Footwear,the United States,1542048847,t.souls,1548187208,12500,1544299208,"New York, NY",t.souls - the most comfortable eco-friendly travel shoe,13370.11,tsouls transformative shoe with attachable tops,True,False,successful,1548187209,https://www.kickstarter.com/projects/9559749/tsouls-transformative-shoe-with-attachable-tops?ref=discovery_category_newest,13370.11
48,a comfortable simple yet elegant yoga tank top with original art that symbolizes the wholeness we realize when we connect and just be,Apparel,the United States,1532995064,Carrie Bourgo,1538370699,2000,1535778699,"Pleasant Prairie, WI",Caribou Yoga Apparel: I Am Whole Tank Top,2301.0,caribou yoga apparel i am whole tank top,True,False,successful,1538370699,https://www.kickstarter.com/projects/cariboucreations/caribou-yoga-apparel-i-am-whole-tank-top?ref=discovery_category_newest,2301.0
87,i am making shirts and other gear designed for people who refuse to go quietly into the darkness  for those who want to pushback,Apparel,the United States,1480395265,Ted Rutherford,1487470182,5000,1484878182,"Austin, TX",PUSHBACK Ink - Wear the Change You Wish to See in the World,5575.0,pushback ink wear the change you wish to see in th,True,False,successful,1487470182,https://www.kickstarter.com/projects/responsiblemen/pushback-ink-wear-the-change-you-wish-to-see-in-th?ref=discovery_category_newest,5575.0
2,italian leather boots,Footwear,the United States,1562749542,Alisia Adams,1565326800,1074,1563897713,"San Antonio, TX",Alisia$AMarie,172.0,alisiaamarie,False,False,failed,1565326800,https://www.kickstarter.com/projects/-alisiaadams/alisiaamarie?ref=discovery_category_newest,172.0
325,these shoes do more than make you look good allie raes comfortable all leather handmade sandals create a future for honduras,Footwear,the United States,1380674075,Jamie Rivadeneyra & Holly Malmsten,1402633015,100000,1399522615,"Santa Barbara, CA",ALLIE RAE - COMFORTABLE footwear that brings global change,37427.0,allie rae footwear becomes a change agent,False,False,canceled,1402610650,https://www.kickstarter.com/projects/439377017/allie-rae-footwear-becomes-a-change-agent?ref=discovery_category_newest,37427.0
8,im tired of being told whats sexy and i know im not the only one body arrest is underwear that showcases your personality,Apparel,the United States,1502921598,Andie Popova,1504735980,500,1502987488,"Chicago, IL",BODY ARREST - underwear for badass women,540.0,body arrest underwear for badass women,True,False,successful,1504735981,https://www.kickstarter.com/projects/2116281789/body-arrest-underwear-for-badass-women?ref=discovery_category_newest,540.0
72,the cartel finally finds the weapon that can stop even a bullet proof flying shark,Comic Books,the United States,1597016510,Ben Lacy,1600992000,1000,1599047946,"Greenville, SC",Shark of War Issues 1 and 2 - A Parade of Piranha,1118.0,shark of war issues 1 and 2,True,False,successful,1600992000,https://www.kickstarter.com/projects/sharkofwar/shark-of-war-issues-1-and-2?ref=discovery_category_newest,1118.0
