backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
41,dorn dance company has been invited to san francisco to perform in the west wave dance festival and they need your help,Dance,the United States,1313199966,Randé Dorn,1315669968,2500,1313509968,"Los Angeles, CA",Send: DORN DANCE COMPANY to the West Wave Dance Festival,2971.0,send dorn dance company to the west wave dance fes,True,False,successful,1315669969,https://www.kickstarter.com/projects/dorndance/send-dorn-dance-company-to-the-west-wave-dance-fes?ref=discovery_category_newest,2971.0
131,all 3 issues of the worlds favorite construction worker with a backhoe digger for an arm vs mutated menaces comic,Comic Books,the United States,1553978515,Chris Lewis,1562825563,2000,1560233563,"Albany, OR",MITCH HAMMER: XXL issues 1-3,2455.0,mitch hammer xxl issues 1 3,True,True,successful,1562825563,https://www.kickstarter.com/projects/511329223/mitch-hammer-xxl-issues-1-3?ref=discovery_category_newest,2455.0
23,fdx pure sole a hip hop flavored dance studio formerly known as freedom danz xpressionz closed in 2009 has risen like the phoenix,Spaces,the United States,1465390302,Keichea Shauntee-Wilson,1470097620,15000,1466638051,"Livonia, MI",FDX Pure Sole Reignite Campaign (Canceled),2425.0,fdx pure sole reignite campaign,False,False,canceled,1469727800,https://www.kickstarter.com/projects/707125516/fdx-pure-sole-reignite-campaign?ref=discovery_category_newest,2425.0
26,children of sin full length manga a steampunk adventure into the supernatural print run funding with tons of bonus content ,Graphic Novels,the United States,1493664011,Enjoy Comics LLP,1496859258,1000,1494267258,"Hilo, HI",Children of Sin Manga Print run,1025.0,children of sin manga print run,True,False,successful,1496859259,https://www.kickstarter.com/projects/enjoycomics/children-of-sin-manga-print-run?ref=discovery_category_newest,1025.0
14,setting up simple new digs for the next phase of life for my daughter and me,DIY,the United States,1406251050,J. Elliott,1409021978,3500,1407293978,"Reagan, TN",The Rebuilding Cabin,420.0,the rebuilding cabin,False,False,failed,1409022010,https://www.kickstarter.com/projects/870657923/the-rebuilding-cabin?ref=discovery_category_newest,420.0
68,benny zarlack iii gets caught in a tiny fib that sets a series of events in motion he can never take back,Graphic Novels,the United States,1582999174,Joe Vallen,1586958266,2500,1583761466,"Denver, CO",Fibber: The Graphic Novel,1739.0,fibber the graphic novel,False,False,failed,1586958267,https://www.kickstarter.com/projects/lilithscradle/fibber-the-graphic-novel?ref=discovery_category_newest,1739.0
7,lifelong dream of making our love of woodworking a successful business,Woodworking,the United States,1407284225,Carol Lee,1411084417,300,1408492417,"Springfield, MO","Woodworking: Chairs, Pens and More, Oh My!",145.0,make our dream a reality,False,False,failed,1411084417,https://www.kickstarter.com/projects/rcrusticcreations/make-our-dream-a-reality?ref=discovery_category_newest,145.0
4,i want to offer a service in my community that no one else offers yettaking back kids childhoods from video games with custom forts,Architecture,the United States,1434949762,James Schulte,1438319340,10000,1435010887,"Mankato, MN",Children's Custom Clubhouses,66.0,childrens custom clubhouses,False,False,failed,1438319340,https://www.kickstarter.com/projects/528328148/childrens-custom-clubhouses?ref=discovery_category_newest,66.0
12,fun new small business wanting to create more awesome new candle scents themes  designs almost no one is doing what i wanna do,Candles,the United States,1456120371,Candace,1458708720,700,1456172979,"Council Bluffs, IA",Macabre Scents,730.0,macabre scents,True,False,successful,1458708720,https://www.kickstarter.com/projects/44482163/macabre-scents?ref=discovery_category_newest,730.0
0,my wife and i had so much fun making our wedding decorations  we want to start a business and make decorations for peoples weddings,DIY,the United States,1404783470,BOWTIFUL,1408991209,450,1405103209,"Minneapolis, MN",Creating wedding bows for others!!!!!,0.0,creating wedding bows for others,False,False,failed,1408991209,https://www.kickstarter.com/projects/585453459/creating-wedding-bows-for-others?ref=discovery_category_newest,0.0
16,cat themed jewelry candles in bright colors and fun scents,Candles,the United States,1577033634,Kathryn Keep,1579700481,500,1577108481,"Terre Haute, IN",Katty Candles and Jewelry Kitty Cat Candles,555.0,katty candles and jewelry kitty cat candles,True,False,successful,1579700481,https://www.kickstarter.com/projects/kattycandles/katty-candles-and-jewelry-kitty-cat-candles?ref=discovery_category_newest,555.0
301,the highly anticipated second chapter to a latinx comic book biography about ramon jaurigues fight to help the yaquis keep their land,Comic Books,the United States,1553664502,henrybarajas,1557557940,7800,1554907209,"Los Angeles, CA",La Voz De M.A.Y.O. Tata Rambo #2,8551.0,la voz de mayo tata rambo 2,True,True,successful,1557557943,https://www.kickstarter.com/projects/hbarajas/la-voz-de-mayo-tata-rambo-2?ref=discovery_category_newest,8551.0
611,a lovecraftian dark fantasy horrorcomedy inspired by hp lovecrafts dreamlands and cthulhu mythos but set in a christian apocalypse,Graphic Novels,the United States,1595091704,Russell Nohelty,1601600460,17666,1598967153,"Los Angeles, CA",Ichabod Jones Volume 1-2: A Lovecraftian dark-fantasy comic,20808.0,ichabod jones volume 1 2 a lovecraftian dark fantasy comic,True,True,successful,1601600460,https://www.kickstarter.com/projects/russellnohelty/ichabod-jones-volume-1-2-a-lovecraftian-dark-fantasy-comic?ref=discovery_category_newest,20808.0
137,design your own paper toy print it build it and share lets craft with actioncraft,DIY,the United States,1428326774,Taktyl Studios LLC,1438675987,10000,1434787987,"Las Vegas, NV","ActionCraft Toy Box : The ""Create Your Own Paper Toy"" App!",10219.0,actioncraft toy box the create your own paper toy,True,False,successful,1438675987,https://www.kickstarter.com/projects/taktylstudios/actioncraft-toy-box-the-create-your-own-paper-toy?ref=discovery_category_newest,10219.0
1,trying to launch the start of a brand new tshirt company with slogans business logos and much more to offer directed to everyone,Printing,the United States,1406238380,Felicia Lessard,1414444881,2500,1409260881,"Leander, TX",The beginning of a beautiful apparel designing company,5.0,the beginning of a beautiful apparel designing com,False,False,failed,1414444882,https://www.kickstarter.com/projects/1903977919/the-beginning-of-a-beautiful-apparel-designing-com?ref=discovery_category_newest,5.0
1,everyone has dreamed of living in that perfect house let me help you turn those dreams and ideas into a realistic starting floor plan,Architecture,the United States,1398663930,Micah Martin,1402590634,2000,1399998634,"Henrico, VA",Dream Home Project,8.0,dream home project,False,False,failed,1402590634,https://www.kickstarter.com/projects/1332236260/dream-home-project?ref=discovery_category_newest,8.0
46,escape from hell episode seven,Comic Books,the United States,1600311022,Fernando Velez,1604027693,2800,1601435693,"San Francisco, CA","LGBTQ Comic Book Series, Class6.",2944.0,lgbtq comic book series class6,True,False,successful,1604027693,https://www.kickstarter.com/projects/kravencomicsclass6/lgbtq-comic-book-series-class6?ref=discovery_category_newest,2944.0
172,the official book of cross stitch patterns from the film evil dead ii,Crafts,the United States,1496250032,Travis McIntire,1499867884,5000,1497275884,"Midland, MI",Evil Dead II - The Book Of The Thread,5179.0,evil dead ii the book of the thread,True,False,successful,1499867884,https://www.kickstarter.com/projects/sourcepointpress/evil-dead-ii-the-book-of-the-thread?ref=discovery_category_newest,5179.0
102,beautiful wood pens made from the staves of jack daniels jim beam wild turkey and makers mark whiskey barrels,Woodworking,the United States,1428215169,Robert Wright,1430964000,500,1428606020,"Fredericksburg, VA",Wood Pens Made From Whiskey Barrel Staves,4827.0,wood pens made from whiskey barrel staves,True,False,successful,1430964012,https://www.kickstarter.com/projects/1863546342/wood-pens-made-from-whiskey-barrel-staves?ref=discovery_category_newest,4827.0
70,the epic comicstrip fantasy saga of an irresponsible wizard coping with fatherhood in a city gone mad,Graphic Novels,the United States,1415655865,Chuck Whelon,1420786800,200,1416289421,"San Francisco, CA",Pewfell in: Drain of Chaos,2589.0,pewfell in drain of chaos,True,True,successful,1420786815,https://www.kickstarter.com/projects/whelon/pewfell-in-drain-of-chaos?ref=discovery_category_newest,2589.0
28,i am an eagle scout candidate hoping to make this trail handicap accessible in cherry hill nj all support is appreciated,Crafts,the United States,1464734309,Dave Mosko,1470522971,900,1467066971,"Cherry Hill, NJ",Dave's Eagle Scout Project,1024.0,daves eagle scout project,True,False,successful,1470522971,https://www.kickstarter.com/projects/1983473254/daves-eagle-scout-project?ref=discovery_category_newest,1024.0
38,fine wooden bowls hand turned by david walsh bowlmaker with first availability to kickstarter backers,Woodworking,the United States,1532539274,David Walsh,1533754805,250,1532890805,"York, PA","David Walsh, Bowlmaker, Fine Wooden Bowls: August 2018",4156.0,david walsh bowlmaker fine wooden bowls august 201,True,False,successful,1533754805,https://www.kickstarter.com/projects/davidwalshbowlmaker/david-walsh-bowlmaker-fine-wooden-bowls-august-201?ref=discovery_category_newest,4156.0
0,hand embroidered quilted blankets and pillow with a geek twist,Quilts,the United States,1431749400,Jess,1434358047,1000,1431766047,"Cypress, CA",chic' geek quilting,0.0,chic geek quilting,False,False,failed,1434358051,https://www.kickstarter.com/projects/1142396035/chic-geek-quilting?ref=discovery_category_newest,0.0
35,dances for a variable population has been invited to the legendary jacobs pillow dance festival we need funds to make this happen,Dance,the United States,1337084347,Naomi Goldberg Haas,1340286766,2100,1338558766,"Becket, MA",Dances For A Variable Population at Jacob's Pillow!,2245.0,dances for a variable population at jacobs pillow,True,False,successful,1340286766,https://www.kickstarter.com/projects/826155269/dances-for-a-variable-population-at-jacobs-pillow?ref=discovery_category_newest,2245.0
390,micron technology with selfclean system to help fight germs wrinkles stains and allergens,Product Design,the United States,1588708562,Ivana Designs,1593813600,10000,1591113537,"San Francisco, CA",Alpha™ Sheets 2.0: Pure Silver Bedding,140288.51,alphatm sheets 20 pure silver bedding,True,False,successful,1593813600,https://www.kickstarter.com/projects/alpha-sheets-2/alphatm-sheets-20-pure-silver-bedding?ref=discovery_category_newest,140288.51
202,issue 2 of the critically acclaimed award winning skylin series continues as the six nations converge on the floating city,Comic Books,the United States,1529457454,Charon Comics,1538917224,3500,1536325224,"San Diego, CA",SKYLIN Issue #2 Printing!,5123.0,skylin issue 2 printing,True,False,successful,1538917224,https://www.kickstarter.com/projects/charoncomics/skylin-issue-2-printing?ref=discovery_category_newest,5123.0
155,a titanium or bronze handcrafted multiuse edc pry tool for your keys use on any shared surfaces you wish to avoid made in usa,Design,the United States,1584921149,TRAK Team,1589403391,3400,1586379391,"Boston, MA",Germ Pry - Avoid Touching Nasty Surfaces,6629.0,germ pry avoid touching nasty surfaces,True,False,successful,1589403391,https://www.kickstarter.com/projects/keyprobe/germ-pry-avoid-touching-nasty-surfaces?ref=discovery_category_newest,6629.0
1,"firefly lip bomb 
we want to make your lips wet
lip bomb for your donations",Printing,the United States,1406902912,Aaron Gifford,1410803292,1500,1406915292,"Aransas Pass, TX",FireFly Lip Bomb (Canceled),10.0,firefly lip bomb 0,False,False,canceled,1407515831,https://www.kickstarter.com/projects/fireflylipbomb/firefly-lip-bomb-0?ref=discovery_category_newest,10.0
8,help us launch our handmade items company and receive a lovely handmade rustic leather journal for your generous contribution,Crafts,the United States,1512928015,Lilly Taylor,1519862331,500,1517270331,"Kimball, TN",Handmade Rustic Leather Journals,502.0,handmade rustic leather journals,True,False,successful,1519862331,https://www.kickstarter.com/projects/892633531/handmade-rustic-leather-journals?ref=discovery_category_newest,502.0
0,putting together a knife making shop   where youth and youth groups can come to learn the art of knife making and woodworking,DIY,the United States,1409281163,Michael Parlock,1411873140,10000,1409289413,"Elkins Junction, WV",Custom knife shop.,0.0,custom knife shop,False,False,failed,1411873140,https://www.kickstarter.com/projects/1735843376/custom-knife-shop?ref=discovery_category_newest,0.0
2,a dance studio where children teens and adults can take classes and build confidence while having fun and learning an art form,Performances,the United States,1467771532,Angelica Spilis,1470617220,35000,1468025220,"Philadelphia, PA",Equilibrium Dance Academy,15.0,equilibrium dance academy,False,False,failed,1470617226,https://www.kickstarter.com/projects/810360430/equilibrium-dance-academy?ref=discovery_category_newest,15.0
30,ambo dance theatre a new dance company in louisville is fundraising to attend their first dance festival,Performances,the United States,1561654801,Ambo Dance Theatre,1565150340,1000,1562690583,"Louisville, KY",Ambo Dance Theatre attending Brighton Dance Festival!,1030.0,ambo dance theatre attending brighton dance festival,True,False,successful,1565150340,https://www.kickstarter.com/projects/ambodancetheatre/ambo-dance-theatre-attending-brighton-dance-festival?ref=discovery_category_newest,1030.0
1,make some zen letters,DIY,the United States,1498064352,Jake Blend,1500664318,1000,1498072318,"Burlington, VT",Spirofont: A spirograph inspired typography set,20.0,spirofont a spirograph inspired typography set,False,False,failed,1500664320,https://www.kickstarter.com/projects/1706506505/spirofont-a-spirograph-inspired-typography-set?ref=discovery_category_newest,20.0
55,leela dance collective cofounders rachna nivas  rina mehta presents a dynamic kathak performance for the drive east festival in nyc,Performances,the United States,1502372845,Leela Dance Collective,1503719940,5000,1502394026,"New York, NY",Leela Dance Collective in NYC!,5025.0,leela dance collective in nyc,True,False,successful,1503719940,https://www.kickstarter.com/projects/1935975510/leela-dance-collective-in-nyc?ref=discovery_category_newest,5025.0
0,custom cutting boards by mallow and w ohdee,Woodworking,the United States,1460170508,Nicholas Mallow,1464620244,3500,1462892244,"Burlington, VT",Mallow . OhDee,0.0,mallow ohdee,False,False,failed,1464620244,https://www.kickstarter.com/projects/1838688123/mallow-ohdee?ref=discovery_category_newest,0.0
51,kidcrafted leather items that will last you a lifetime,Crafts,the United States,1434383281,Berkeley716 Leathercraft,1439701140,1500,1436437430,"College Station, TX",The Leathercraft Kids,1888.16,the leathercraft kids,True,False,successful,1439701140,https://www.kickstarter.com/projects/berkeley716/the-leathercraft-kids?ref=discovery_category_newest,1888.16
144,nyit architecture students want to help build a recycling center they designed in costa rica and fund a documentary film about it,Civic Design,the United States,1352405733,Tobias Holler,1355450400,9000,1353036538,"Nosara, Costa Rica",sLAB Costa Rica: building the Nosara Recycling Center PART 2,10155.0,slab costa rica building the nosara recycling cent,True,False,successful,1355450432,https://www.kickstarter.com/projects/472474365/slab-costa-rica-building-the-nosara-recycling-cent?ref=discovery_category_newest,10155.0
97,an historical comic that explores socrates end and platos beginning the story continues four years after the events of part i,Graphic Novels,the United States,1573337199,Jave Galt-Miller,1576465200,5000,1573888283,"Los Angeles, CA","POLIS: The Trial of Socrates, Part II",5009.0,polis the trial of socrates part ii,True,False,successful,1576465200,https://www.kickstarter.com/projects/polis/polis-the-trial-of-socrates-part-ii?ref=discovery_category_newest,5009.0
51,inspirit is working to present three new works in their fall 2012 season under new artistic director alexandra warren,Dance,the United States,1336691265,"INSPIRIT, a dance company",1341314395,2000,1338290395,"New York, NY","Evolving: INSPIRIT, a dance company 2012 season",2075.0,evolving inspirit a dance company 2012 season,True,False,successful,1341314395,https://www.kickstarter.com/projects/1148602969/evolving-inspirit-a-dance-company-2012-season?ref=discovery_category_newest,2075.0
3,trying to turn my hobby into a little extra cash as a single mom making country themed signs and decor with wood like my dad taught me,Woodworking,the United States,1404824184,Brooke,1408414045,850,1404958045,"Center Point, IA",Back Road Beauty,60.0,back road beauty,False,False,failed,1408414045,https://www.kickstarter.com/projects/1995469819/back-road-beauty?ref=discovery_category_newest,60.0
159,surrounded on all sides the rumble kings make their final stand,Comic Books,the United States,1596114090,Ryan Cummins,1604314614,3000,1601546214,"Holland, MI",Rumble Kings #1-3,3524.0,rumble kings1 3,True,False,successful,1604314614,https://www.kickstarter.com/projects/skeletalpress/rumble-kings1-3?ref=discovery_category_newest,3524.0
0,we are a collective of artists seeking to tell a story through music dance and visual art help us make our first show a reality,Performances,the United States,1542662530,Nighttime (deleted),1544922720,2000,1542761310,"Brooklyn, NY",What Love is Meant to Do (Canceled),0.0,what love is meant to do,False,False,canceled,1542763693,https://www.kickstarter.com/projects/nighttime/what-love-is-meant-to-do?ref=discovery_category_newest,0.0
0,i want to combine knitting with crocheting to create a wonderful scarf for my customers,Knitting,the United States,1413340127,Phuong Krone,1416011702,40,1413416102,"Woodstock, GA","Hand knitted dice bag, scarf, toy and much more- 4 days left",0.0,freeform knitting scarf cozy scarf,False,False,failed,1416011702,https://www.kickstarter.com/projects/471463438/freeform-knitting-scarf-cozy-scarf?ref=discovery_category_newest,0.0
17,fine pens made from reclaimed wine barrel staves,Woodworking,the United States,1432051356,Greg Laurel,1434673911,500,1432081911,"Auburn, WA",Wine Barrel Pens,843.0,wine barrel pens,True,False,successful,1434673914,https://www.kickstarter.com/projects/261075808/wine-barrel-pens?ref=discovery_category_newest,843.0
30,rva dance collective presents their annual spring concert at 8pm on may 19 at the grace street theatre in richmond va,Dance,the United States,1327279815,rva dance collective,1332813119,1200,1327632719,"Richmond, VA",elephant ballerina: dreams do come true.,1700.0,elephant ballerina dreams do come true,True,False,successful,1332813119,https://www.kickstarter.com/projects/rvadance/elephant-ballerina-dreams-do-come-true?ref=discovery_category_newest,1700.0
210,exciting first three issues of americas first superhero and his adventures set in new york city during the 1900s,Comic Books,the United States,1592412871,Daniel Kalban,1595523899,2000,1592931899,"Brooklyn, NY",American Dreams Issues 1 - 3 (Ongoing Comic Series),5385.0,american dreams issues 1 3 ongoing comic series,True,False,successful,1595523899,https://www.kickstarter.com/projects/americandreamscomic/american-dreams-issues-1-3-ongoing-comic-series?ref=discovery_category_newest,5385.0
2568,an anticlog drain protector hair strainer for shower stall and shower tub drains from the makers of the awardwinning tubshroom,Product Design,the United States,1582753971,Solyman Najimi,1587416120,4000,1582926920,"New York, NY",ShowerShroom Ultra: A Revolution in Drain Protection,82302.0,showershroom ultra a revolution in drain protection,True,False,successful,1587416120,https://www.kickstarter.com/projects/juka/showershroom-ultra-a-revolution-in-drain-protection?ref=discovery_category_newest,82302.0
4,building and selling wood guitar stands that are affordable for the budget musician that also looks awesome,Woodworking,the United States,1412110953,Maury Munoz,1438310192,950,1435718192,"Portland, OR",MNA Wood guitar stands .,315.0,mna wood guitar stands,False,False,failed,1438310192,https://www.kickstarter.com/projects/1591835889/mna-wood-guitar-stands?ref=discovery_category_newest,315.0
209,a new choreographic work created with 12 dancers engaging complexity as its generative motor,Performances,the United States,1437145746,Tere O'Connor,1445658900,23000,1442933960,"New York, NY",The  Goodbye Studies       Tere O'Connor,23129.0,the goodbye studies tere oconnor,True,False,successful,1445658900,https://www.kickstarter.com/projects/1838850679/the-goodbye-studies-tere-oconnor?ref=discovery_category_newest,23129.0
1414,an adult queer romantic drama about betrayal witchcraft and monstrous men in the midcentury texas panhandle,Graphic Novels,the United States,1593720580,Cameron Lucente,1597348800,10000,1595350800,"Seattle, WA",BULLISH: A Graphic Novel,34351.66,bullish a graphic novel,True,True,successful,1597348800,https://www.kickstarter.com/projects/mancameron/bullish-a-graphic-novel?ref=discovery_category_newest,34351.66
392,a collection of short comics about mythical creatures living hidden from humanity the third skin deep book,Webcomics,the United States,1416080364,KoryBing,1420617540,19000,1417405457,"Portland, OR","Skin Deep Vol 3: Greetings, From Dogpatch",23568.0,skin deep vol 3 greetings from dogpatch,True,True,successful,1420617542,https://www.kickstarter.com/projects/963152868/skin-deep-vol-3-greetings-from-dogpatch?ref=discovery_category_newest,23568.0
