backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
87,"['artists', 'collaborate', 'with', 'local', 'children', 'in', 'rome', 'to', 'build', 'a', '60feet', 'wooden', 'sailboat', 'and', 'spread', 'messages', 'of', 'hope', 'and', 'tolerance']",Public Art,the United States,1491231066,Ilya and Emilia Kabakov Foundation,1495117985,30000.0,1492525985,"Rome, Italy",Ship of Tolerance,30048.1,"['ship', 'of', 'tolerance']",True,True,successful,1495117985,https://www.kickstarter.com/projects/2102998314/ship-of-tolerance?ref=discovery_category_newest,30048.1
108,"['a', 'comic', 'book', 'universe', 'handbook', 'for', 'kerra', 'prime']",Comic Books,the United States,1599517009,Bryan SilverBaX,1603863395,1500.0,1599975395,"Marietta, GA",Kerra Prime Handbook,3643.0,"['kerra', 'prime', 'handbook']",True,False,successful,1603863395,https://www.kickstarter.com/projects/silverbax/kerra-prime-handbook?ref=discovery_category_newest,3643.0
20,"['a', 'multiyear', '2010', '2017', 'project', 'analyzing', 'the', 'seduction', 'of', 'power', 'and', 'the', 'making', 'of', 'a', 'movie', 'in', 'realtime', 'conceived', 'by', 'itziar', 'barrio']",Performance Art,the United States,1432862749,Itziar Barrio,1509838317,4500.0,1507678317,"Bogota, Colombia",THE PERILS OF OBEDIENCE,1495.0,"['the', 'perils', 'of', 'obedience']",False,True,failed,1509838318,https://www.kickstarter.com/projects/1782004680/the-perils-of-obedience?ref=discovery_category_newest,1495.0
114,"['queering', 'sex', 'is', 'a', 'performance', 'and', 'video', 'exhibition', 'that', 'features', 'the', 'work', 'of', 'artists', 'who', 'are', 'dealing', 'with', 'gender', 'and', 'sexuality']",Mixed Media,the United States,1307304782,Eric Kim,1309581328,5000.0,1307421328,"Los Angeles, CA",Queering Sex,5020.0,"['queering', 'sex']",True,False,successful,1309581331,https://www.kickstarter.com/projects/ecklaca/queering-sex?ref=discovery_category_newest,5020.0
92,"['a', 'set', 'of', 'hard', 'enamel', 'pins', 'that', 'pay', 'homage', 'to', 'some', 'of', 'the', 'most', 'magical', 'draconic', 'sorceresses', 'in', 'media', 'history']",Digital Art,the United States,1579453881,Aislynn Cetera,1595660340,700.0,1593183955,"San Francisco, CA",The Sorceress Series: A Hard Enamel Fantasy Pin Set,2383.0,"['the', 'sorceress', 'series', 'enamel', 'pins']",True,False,successful,1595660340,https://www.kickstarter.com/projects/dragonsndoodles/the-sorceress-series-enamel-pins?ref=discovery_category_newest,2383.0
29,"['help', 'me', 'print', 'kraang', 'stickers', 'get', 'stickers']",Public Art,the United States,1393979355,Rudy Dean (deleted),1395012540,175.0,1394483936,"Tulsa, OK",Kraang (Ninja Turtles) Sticker,225.0,"['kraang', 'ninja', 'turtles', 'sticker']",True,False,successful,1395012540,https://www.kickstarter.com/projects/520426984/kraang-ninja-turtles-sticker?ref=discovery_category_newest,225.0
0,"['our', 'community', 'kids', 'want', 'to', 'put', 'on', 'a', 'play', 'in', 'the', 'park', 'they', 'have', 'chosen', 'to', 'do', 'the', 'wizard', 'of', 'oz', 'please', 'help', 'us', 'fund', 'it']",Performance Art,the United States,1381707701,Di,1384533838,5678.0,1381938238,"Haidian District, China",Let us ACT!!,0.0,"['let', 'us', 'act']",False,False,failed,1384533838,https://www.kickstarter.com/projects/ichangetheworld/let-us-act?ref=discovery_category_newest,0.0
74,"['immersive', 'art', 'exhibition', 'expressing', 'a', 'group', 'of', 'artists', 'harness', 'of', 'mythical', 'entity', 'chaosynchronous', 'parse134', 'carondelet', 'nola', 'jan6']",Sculpture,the United States,1323999794,Andrew Schrock,1324876260,2500.0,1324160482,"New Orleans, LA",Andrew Schrock The Harness of Chaosynchronous (New),2626.5,"['andrew', 'schrock', 'the', 'harness', 'of', 'chaosynchronous', 'new']",True,False,successful,1324876261,https://www.kickstarter.com/projects/andrewschrock/andrew-schrock-the-harness-of-chaosynchronous-new?ref=discovery_category_newest,2626.5
195,"['an', '8', 'steven', 'universe', 'fanmade', 'crystal', 'jams', 'vinyl', 'toy', 'providing', 'the', 'flexibility', 'love', 'and', 'trust', 'you', 'need', 'during', 'your', 'day']",Mixed Media,the United States,1375200759,Richmond Rex Parakhen,1604509030,20000.0,1602777430,"San Diego, CA","Homeworld Gallery Steven Universe ""Crystal Jams"" Vinyl Toy",21626.0,"['homeworld', 'gallery', 'steven', 'universe', 'crystal', 'jams', 'vinyl', 'toy']",True,False,successful,1604509030,https://www.kickstarter.com/projects/crystaljams/homeworld-gallery-steven-universe-crystal-jams-vinyl-toy?ref=discovery_category_newest,21626.0
12,"['walk', 'up', 'to', 'lit', 'pyramid', 'structures', 'each', 'only', 'a', 'foot', 'or', 'two', 'larger', 'then', 'yourself', 'covered', 'in', 'wind', 'chimes', 'and', 'music', 'relax', 'with', 'us']",Sculpture,the United States,1338916753,Digital Native Art Collective,1340467140,515.0,1339431818,"Darlington, MD",Chime-A-Mid,606.97,"['chime', 'a', 'mid']",True,False,successful,1340467140,https://www.kickstarter.com/projects/313019483/chime-a-mid?ref=discovery_category_newest,606.97
