backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
60,"['the', 'only', 'service', 'that', 'keeps', 'your', 'emails', 'in', 'your', 'device', 'and', 'not', 'in', '3rd', 'party', 'servers', 'protect', 'your', 'privacy', 'own', 'your', 'inbox']",Apps,the United States,1562961635,Mayer Mizrachi,1576605950,150000,1571418350,"Panama City, Panama",Criptext: encrypted email with true ownership,9020.0,"['criptext', 'encrypted', 'email', 'with', 'true', 'ownership']",False,False,failed,1576605950,https://www.kickstarter.com/projects/mayer/criptext-encrypted-email-with-true-ownership?ref=discovery_category_newest,9020.0
160,"['founded', 'in', '2016', 'by', 'audio', 'industry', 'veterans', 'tutti', 'studios', 'singular', 'focus', 'is', 'to', 'deliver', 'the', 'ultimate', 'party', 'speakers']",Sound,the United States,1517927327,tutti.studio,1523542335,48000,1520950335,"Los Angeles, CA",The Ultimate Party Speaker (Canceled),90486.0,"['the', 'ultimate', 'party', 'speaker']",False,False,canceled,1523472000,https://www.kickstarter.com/projects/tuttimatti/the-ultimate-party-speaker?ref=discovery_category_newest,90486.0
0,"['creating', 'a', 'voltaic', 'battery', 'capable', 'of', 'powering', 'any', 'drone', 'for', 'roughly', '200', 'to', '300', 'hours', 'between', 'maintenance']",DIY Electronics,the United States,1493297318,Freeman Harrison,1495987840,10000,1493395840,"Wichita, KS",Project Atlas,0.0,"['project', 'atlas']",False,False,failed,1495987841,https://www.kickstarter.com/projects/vtole/project-atlas?ref=discovery_category_newest,0.0
175,"['voice', 'recorder', 'pen', 'hq', 'audio', 'usb', 'typec', 'flash', 'drivepastel', 'colormini']",Hardware,the United States,1604974609,LIY7,1612369702,5000,1608913702,"San Jose, CA",The Most Exquisite and Lovely Voice Recorder Pen,10139.0,"['the', 'most', 'exquisite', 'and', 'lovely', 'voice', 'recorder', 'pen']",True,False,successful,1612369702,https://www.kickstarter.com/projects/liy7/the-most-exquisite-and-lovely-voice-recorder-pen?ref=discovery_category_newest,10139.0
1,"['doors', 'and', 'windows', 'that', 'are', 'lighting', 'systems', 'for', 'design', 'and', 'illumination', 'the', 'light', 'is', 'visible', 'from', 'interior', 'or', 'exterior', 'only', 'or', 'both']",Hardware,the United States,1522114107,Ronald D. Smith Jr.,1524706080,50000,1522266612,"Evanston, IL",Windows & doors that are light fixtures hardwired programmed,11.11,"['windows', 'and', 'doors', 'that', 'are', 'light', 'fixtures', 'hardwire']",False,False,failed,1524706080,https://www.kickstarter.com/projects/1024869574/windows-and-doors-that-are-light-fixtures-hardwire?ref=discovery_category_newest,11.11
1979,"['virtual', '51', 'immersive', 'audio', 'openear', 'nfss', 'antiblue', 'light', 'iconic', 'retro', 'look', 'swappable', 'lenses', 'bluetooth', '50', 'ergonomic', 'design']",Wearables,the United States,1576721218,Mutrics,1583504326,5000,1578320326,"Middletown, DE",Mutrics GB-30: Ultra Slim Smart Audio Glasses For Gamers,215867.0,"['mutrics', 'gb', '30', 'ultra', 'slim', 'smart', 'audio', 'glasses', 'for', 'gamers']",True,False,successful,1583504327,https://www.kickstarter.com/projects/mutrics/mutrics-gb-30-ultra-slim-smart-audio-glasses-for-gamers?ref=discovery_category_newest,215867.0
19,"['we', 'are', 'a', 'group', 'of', 'citizen', 'scientists', 'looking', 'to', 'take', 'space', 'weather', 'exploration', 'to', 'the', 'land', 'air', 'and', 'sea']",Space Exploration,the United States,1443378933,Aaron Lamb,1496079060,4700,1492574055,"Charleston, SC",The Charleston Project- The Great American Solar Eclipse,442.77,"['the', 'charleston', 'project', 'the', 'great', 'american', 'solar', 'ec']",False,True,failed,1496079062,https://www.kickstarter.com/projects/1531417005/the-charleston-project-the-great-american-solar-ec?ref=discovery_category_newest,442.77
23,"['a', 'middlegrade', 'novel', 'about', 'being', 'different', 'exploration', 'and', 'selfbelief']",Young Adult,the United States,1583436920,Jason Bergsieker,1586452500,5000,1583770914,"Ann Arbor, MI",The Dragon Without Wings,494.0,"['the', 'dragon', 'without', 'wings']",False,False,failed,1586452500,https://www.kickstarter.com/projects/nomadslim/the-dragon-without-wings?ref=discovery_category_newest,494.0
60,"['create', 'custom', 'costumes', 'for', 'special', 'needs', 'children', 'in', 'walkers', 'and', 'wheelchairs', 'goal', 'build', '5', 'costumes', 'by', 'halloween', 'wwwwalkinrollinorg']",Wearables,the United States,1436551160,Lon Davis,1441087170,1000,1438495170,"Kansas City, KS",Walkin' & Rollin' Costumes,3271.0,"['walkin', 'and', 'rollin', 'costumes']",True,False,successful,1441087213,https://www.kickstarter.com/projects/432368103/walkin-and-rollin-costumes?ref=discovery_category_newest,3271.0
1870,"['60', 'compact', '4400ma', 'battery', 'wired', 'wireless', 'synced', 'work', 'on', 'multiple', 'devices', 'wheel', 'volume', 'button', 'macos', 'windows', 'ios', 'android']",Hardware,the United States,1597029235,Ajazz,1600436746,5000,1597844746,"New York, NY",Ajazz K620T Powerful 60%Compact Wireless Mechanical Keyboard,131099.0,"['ajazz', 'k620t', 'powerful', '60compact', 'wireless', 'mechanical', 'keyboard']",True,False,successful,1600436746,https://www.kickstarter.com/projects/ajazz/ajazz-k620t-powerful-60compact-wireless-mechanical-keyboard?ref=discovery_category_newest,131099.0
