backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
34,"['find', 'out', 'what', 'happens', 'when', 'albert', 'decides', 'to', 'play', 'with', 'his', 'food', 'and', 'takes', 'it', 'on', 'a', 'high', 'flying', 'adventure', 'to', 'outer', 'space']",Children's Books,the United States,1564969508,Kelly Airhart,1567632714,300,1565040714,"Albuquerque, NM",Albert's Cookie- A Children's Book,843.0,"['alberts', 'cookie', 'a', 'childrens', 'book']",True,False,successful,1567632714,https://www.kickstarter.com/projects/kellyairhart/alberts-cookie-a-childrens-book?ref=discovery_category_newest,843.0
512,"['an', 'anthology', 'of', 'queer', 'witchery']",Anthologies,the United States,1605839241,dave ring,1609509126,8750,1606917126,"Washington, DC",Unfettered Hexes: Queer Tales of Insatiable Darkness,18131.0,"['unfettered', 'hexes', 'queer', 'tales', 'of', 'insatiable', 'darkness']",True,True,successful,1609509126,https://www.kickstarter.com/projects/davering/unfettered-hexes-queer-tales-of-insatiable-darkness?ref=discovery_category_newest,18131.0
0,"['written', 'by', 'a', 'chronically', 'ill', 'girl', 'commenting', 'on', 'the', 'ups', 'downs', 'and', 'all', 'over', 'craziness', 'of', 'life', 'love', 'and', 'instability']",Poetry,the United States,1462053258,Moriah Rabeaux,1464816474,120,1462224474,"Lafayette, LA",Walking Into Winter: Writing to Warm the Frostbitten Soul,0.0,"['walking', 'into', 'winter', 'writing', 'to', 'warm', 'the', 'frostbitte']",False,False,failed,1464816474,https://www.kickstarter.com/projects/514222826/walking-into-winter-writing-to-warm-the-frostbitte?ref=discovery_category_newest,0.0
2,"['bimonthly', 'publication', 'that', 'introduces', 'flying', 'and', 'the', 'adventures', 'of', 'flying', 'a', 'lifestyle', 'travel', 'magazine', 'why', 'walk', 'when', 'you', 'can', 'fly']",Periodicals,the United States,1356627320,Mark Morgan,1366923699,32000,1364331699,"Dayton, OH",Bringing the Experience of Flying to Everyone.,50.0,"['bringing', 'the', 'experience', 'of', 'flying', 'to', 'everyone']",False,False,failed,1366923699,https://www.kickstarter.com/projects/1536978641/bringing-the-experience-of-flying-to-everyone?ref=discovery_category_newest,50.0
64,"['two', 'small', 'illustrated', 'readable', 'books', 'of', 'basic', 'parenting', 'principles', 'made', 'available', 'to', 'new', 'parents', 'everywhere']",Nonfiction,the United States,1477863290,Lane Powell,1480638998,5000,1478043398,"Birmingham, AL",Lane Powell's Parenting Secrets,6955.0,"['lane', 'powells', 'parenting', 'secrets']",True,False,successful,1480638998,https://www.kickstarter.com/projects/593394884/lane-powells-parenting-secrets?ref=discovery_category_newest,6955.0
46,"['im', 'retired', 'no', 'really', 'so', 'why', 'am', 'i', 'running', 'through', 'la', 'trying', 'to', 'dodge', 'every', 'conspiracy', 'there', 'is', 'to', 'stay', 'alive', 'oh', 'right', 'im', 'me']",Fiction,the United States,1396834777,Candlemark & Gleam,1399607940,350,1397170472,"Bennington, VT",Print Release of Get Blank,1791.0,"['print', 'release', 'of', 'get', 'blank']",True,False,successful,1399607940,https://www.kickstarter.com/projects/candlemarkandgleam/print-release-of-get-blank?ref=discovery_category_newest,1791.0
1,"['student', 'capstones', 'are', 'often', 'fascinating', 'but', 'sadly', 'overlooked', 'were', 'helping', 'students', 'spread', 'their', 'work', 'by', 'bringing', 'it', 'straight', 'to', 'you']",Radio & Podcasts,the United States,1451231641,Capstone Coverage Podcast,1454172452,700,1451580452,"Burlington, VT",Capstone Coverage Podcast!,25.0,"['capstone', 'coverage', 'podcast']",False,False,failed,1454172454,https://www.kickstarter.com/projects/103259375/capstone-coverage-podcast?ref=discovery_category_newest,25.0
87,"['a', 'childrens', 'cookalong', 'book', 'helping', 'parents', 'get', 'children', 'involved', 'in', 'the', 'kitchen', 'and', 'exploring', 'new', 'foods', 'in', 'a', 'fun', 'story', 'format']",Children's Books,the United States,1579553201,Afton Lorenz,1584573698,6200,1582571251,"Lakeland, FL",Cook-a-long Children's Book: Growing Dill,6512.0,"['cook', 'a', 'long', 'childrens', 'book', 'growing', 'dill']",True,False,successful,1584573698,https://www.kickstarter.com/projects/alittleonus/cook-a-long-childrens-book-growing-dill?ref=discovery_category_newest,6512.0
8,"['a', 'special', 'edition', 'of', 'pinpoint', 'pennsylvania', 'magazine', 'to', 'help', 'support', 'our', 'states', 'tourism', 'industry', 'and', 'get', 'travelers', 'back', 'on', 'the', 'road']",Periodicals,the United States,1587141594,Lynda Stewart,1590940823,10000,1588348823,"Pittsburgh, PA",Pinpoint: Pennsylvania - Traveling in a Brave New World,96.0,"['pinpoint', 'pennsylvania', 'traveling', 'in', 'a', 'brave', 'new', 'world']",False,False,failed,1590940823,https://www.kickstarter.com/projects/pinpointpa/pinpoint-pennsylvania-traveling-in-a-brave-new-world?ref=discovery_category_newest,96.0
1,"['my', 'daughter', 'and', 'i', 'plan', 'to', 'further', 'our', 'education', 'and', 'start', 'our', 'own', 'photography', 'studio', 'she', 'is', '15', 'and', 'is', 'already', 'studying', 'videography']",Photobooks,the United States,1409268854,Kunikar Stemple,1418929310,5000,1416337310,"Sarasota, FL",Kunikar Photography,10.0,"['kunikar', 'photography']",False,False,failed,1418929311,https://www.kickstarter.com/projects/2056792776/kunikar-photography?ref=discovery_category_newest,10.0
