backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
51,help us finish our beautiful 2cd album of solstice stories music and song,World Music,the United States,1546535164,Diane Edgecomb,1581023097,2500.0,1575839097,"Boston, MA",The Winter Solstice in Story & Song,3369.0,the winter solstice in story and song,True,True,successful,1581023097,https://www.kickstarter.com/projects/livingmyth/the-winter-solstice-in-story-and-song?ref=discovery_category_newest,3369.0
7,smokey   the indomitable kitty is a true story book about a burn victim who defied all odds and is now our living miracle,Print,the United States,1459379268,Pandora's Hope Foundation,1464461360,5500.0,1460573360,"Sacramento, CA",Smokey - The Indomitable Kitty,475.0,smokey the indomitable kitty,False,False,failed,1464461361,https://www.kickstarter.com/projects/365246068/smokey-the-indomitable-kitty?ref=discovery_category_newest,475.0
93,"full length mp3 nes cart  goofy foot  power chiptunes
a compilation of 15 synthwave/chiptune artists spanning the globe  
make100",Chiptune,the United States,1578289381,Steve DeLuca,1582127999,4500.0,1580313599,"Long Beach, CA",Full Length MP3 NES Cartridge _ Goofy Foot - Power Chiptunes,7073.0,full length nes music cart goofy foot power chiptunes,True,True,successful,1582127999,https://www.kickstarter.com/projects/totalradnes/full-length-nes-music-cart-goofy-foot-power-chiptunes?ref=discovery_category_newest,7073.0
377,a lavishly illustrated 54card limited edition playing card deck by jason engle featuring art from mausolea,Playing Cards,the United States,1536126420,Sigil Entertainment Group,1542429000,3500.0,1539793910,"Amsterdam, NY",MAUSOLEA Playing Cards,12556.0,mausolea playing cards,True,False,successful,1542429000,https://www.kickstarter.com/projects/sigil/mausolea-playing-cards?ref=discovery_category_newest,12556.0
52,we will capture the creative spirit of our original music and live performances in this recording you can help our music take flight,Classical Music,the United States,1533229146,Manitou Winds,1539050400,4500.0,1536278414,"Traverse City, MI",Manitou Winds Debut Album,4626.0,manitou winds debut album,True,False,successful,1539050400,https://www.kickstarter.com/projects/manitouwinds/manitou-winds-debut-album?ref=discovery_category_newest,4626.0
134,futurepantlings we want to bring our music to you in a classy professional fashion please consider helping us thank you,Country & Folk,the United States,1377831868,Soda Pants,1384583436,8000.0,1381123836,"San Diego, CA",Soda Pants (Winner SDMA:Best New Artist) EP: EXTENDED PANTS,9290.0,soda pants ep extended pants,True,False,successful,1384583436,https://www.kickstarter.com/projects/1124170616/soda-pants-ep-extended-pants?ref=discovery_category_newest,9290.0
10,recording our new album,Music,the United States,1611024439,Cliff Watkins,1616615910,3500.0,1611431910,"Carrollton, TX",Remember The Name - Album Recording,341.0,remember the name album recording,False,False,live,1611431911,https://www.kickstarter.com/projects/rememberthename/remember-the-name-album-recording?ref=discovery_category_newest,341.0
242,to give a voice to those who have trouble finding their own,Playing Cards,the United States,1574307219,Awareness PCC,1582212480,11000.0,1579515530,"Muncie, IN",SPEAKS Playing Cards- The Autism Awareness Deck,13048.92,speaks,True,False,successful,1582212480,https://www.kickstarter.com/projects/speaks-asd-deck/speaks?ref=discovery_category_newest,13048.92
4,this will be a podcast where melanated people talk about issues affecting them locally nationally and globally,Web,the United States,1573155323,Shonda Blair,1578707264,5000.0,1573523264,"Cincinnati, OH",Urban Forum Podcast,77.0,urban forum podcast,False,False,failed,1578707264,https://www.kickstarter.com/projects/urbanforum43/urban-forum-podcast?ref=discovery_category_newest,77.0
117,im so grateful for yall lets hit the next milestone of 20k and an acoustic project and music video will also release  coleteam,Music,the United States,1567468415,Julia Cole,1571921194,10000.0,1569329194,"Nashville, TN",Julia Cole's First Full Band EP + Acoustic EP ($20k GOAL),13037.0,bring to life julia coles first ep 4 song project,True,False,successful,1571921194,https://www.kickstarter.com/projects/juliacolemusic/bring-to-life-julia-coles-first-ep-4-song-project?ref=discovery_category_newest,13037.0
