backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
527,"['the', 'creator', 'of', 'la', 'voz', 'de', 'mayo', 'tata', 'rambo', 'kickstarts', 'new', 'latinx', 'fantasy', 'series', 'helm', 'greycastle', '1']",Comic Books,the United States,1601338911,henrybarajas,1607611251,10000,1604932851,"Los Angeles, CA",HELM GREYCASTLE #1,13698.2,"['helm', 'greycastle', '1']",True,True,successful,1607611251,https://www.kickstarter.com/projects/hbarajas/helm-greycastle-1?ref=discovery_category_newest,13698.2
6,"['star', 'wars', 'inspired', 'and', 'other', 'titles', 'cosplay/collectors', 'wearable', 'helmets']",DIY,the United States,1600652103,David,1603263240,250000,1600671240,"Nashville, TN",Star Wars Inspired Wearable Helmets,177.0,"['star', 'wars', 'inspired', 'wearable', 'helmets']",False,False,failed,1603263241,https://www.kickstarter.com/projects/opt3d/star-wars-inspired-wearable-helmets?ref=discovery_category_newest,177.0
31,"['wanderlust', 'experiments', 'in', 'virtual', 'and', 'corporeal', 'travel', 'is', 'a', 'collaborative', 'transmedia', 'dance', 'performance', 'experiment']",Residencies,the United States,1483557194,Michelle Parkins,1490305797,3000,1487717397,"Bilbao, Spain",Wanderlust: Dance,3855.0,"['wanderlust', 'dance']",True,False,successful,1490305797,https://www.kickstarter.com/projects/293678600/wanderlust-dance?ref=discovery_category_newest,3855.0
3,"['revive', 'and', 'support', 'cooley', 'high', 'school', 'a', 'national', 'landmark', 'as', 'a', 'community', 'center', 'and', 'housing', 'with', 'predevelopment', 'funding']",Architecture,the United States,1413009151,Nicole Pitts,1415966684,51000,1413371084,"Detroit, MI",Detroit's Cooley Reuse Project,190.0,"['detroits', 'cooley', 'reuse', 'project']",False,False,failed,1415966684,https://www.kickstarter.com/projects/328934029/detroits-cooley-reuse-project?ref=discovery_category_newest,190.0
1,"['quality', 'handcrafted', 'furniture', 'and', 'accessories', 'for', 'everyday', 'people']",Woodworking,the United States,1444754433,Dusitn Hunter,1448650926,15000,1446055326,"New Haven, CT",New England Cedar,1.0,"['new', 'england', 'cedar']",False,False,failed,1448650927,https://www.kickstarter.com/projects/newenglandcedar/new-england-cedar?ref=discovery_category_newest,1.0
33,"['do', 'you', 'love', 'magic', 'the', 'gathering', 'do', 'you', 'have', 'a', 'deck', 'in', 'need', 'of', 'a', 'solid', 'home', 'do', 'you', 'not', 'speak', 'latin', 'good', 'these', 'boxes', 'are', 'for', 'you']",Woodworking,the United States,1467003699,Eddie Martin,1480569180,1500,1477622095,"Columbus, OH",The Barbaric Box: MTG deck boxes made by a barbarian.,3994.0,"['the', 'barbaric', 'box', 'mtg', 'deck', 'boxes', 'made', 'by', 'a', 'barbaria']",True,True,successful,1480569180,https://www.kickstarter.com/projects/127339021/the-barbaric-box-mtg-deck-boxes-made-by-a-barbaria?ref=discovery_category_newest,3994.0
38,"['the', 'sexiest', 'girls', 'in', 'comics', 'fight', 'death', 'destruction', 'and', 'deviants', 'in', 'a', 'deliciously', 'depraved', 'series']",Comic Books,the United States,1561143891,Vince Brusio,1564372800,800,1562495226,"Sykesville, MD","Pussycats: Eat Death, Or Get Naked #2",1356.0,"['pussycats', 'eat', 'death', 'or', 'get', 'naked', '2']",True,False,successful,1564372801,https://www.kickstarter.com/projects/pussycats/pussycats-eat-death-or-get-naked-2?ref=discovery_category_newest,1356.0
2,"['creating', 'a', 'skincare', 'line', 'that', 'promotes', 'youthful', 'looking', 'skin', 'through', 'a', 'rigorous', 'routine', 'while', 'macromanaging', 'skin', 'problems']",DIY,the United States,1557389712,Fiera Hill,1559378880,10000,1557493613,"Atlanta, GA",Simply London Vegan-Natural Facial Product,201.0,"['simply', 'london', 'vegan', 'natural', 'facial', 'product']",False,False,failed,1559378880,https://www.kickstarter.com/projects/nextstepcosmetic/simply-london-vegan-natural-facial-product?ref=discovery_category_newest,201.0
48,"['be', 'copious', 'help', 'us', 'soar', 'to', 'new', 'heights', 'in', '2015', 'we', 'need', 'your', 'support', 'to', 'bring', 'the', 'conference', 'of', 'the', 'birds', 'to', 'san', 'francisco', 'audiences']",Performances,the United States,1412614085,Copious Dance Theater,1415426400,4999,1413674696,"San Francisco, CA",The Conference Of The Birds - An Epic Tale Of Discovery.,5500.0,"['the', 'conference', 'of', 'the', 'birds', 'an', 'epic', 'tail', 'of', 'discov']",True,True,successful,1415426411,https://www.kickstarter.com/projects/copiousdance/the-conference-of-the-birds-an-epic-tail-of-discov?ref=discovery_category_newest,5500.0
2914,"['help', 'bring', 'alex', 'greys', 'world', 'renowned', 'sacred', 'mirrors', 'exhibition', 'back', 'on', 'view', 'by', 'completing', 'the', 'construction', 'of', 'entheon']",Architecture,the United States,1456504842,CoSM,1464709260,77000,1461097680,"Wappingers Falls, NY",Build Entheon with Alex Grey & Allyson Grey,354917.01,"['build', 'entheon', 'with', 'alex', 'grey', 'and', 'allyson', 'grey']",True,True,successful,1464709261,https://www.kickstarter.com/projects/alexgreycosm/build-entheon-with-alex-grey-and-allyson-grey?ref=discovery_category_newest,354917.01
